Vertice: 1 | Distancia: 1.86
Vertice: 2 | Distancia: 1.48
Vertice: 3 | Distancia: 1.68
Vertice: 4 | Distancia: 1.67
Vertice: 5 | Distancia: 2.6
Vertice: 6 | Distancia: 1.46
Vertice: 7 | Distancia: 1.88
Vertice: 8 | Distancia: 1.98
Vertice: 9 | Distancia: 1.58
Vertice: 10 | Distancia: 0
Vertice: 11 | Distancia: 1.61
Vertice: 12 | Distancia: 2.1
Vertice: 13 | Distancia: 1.78
Vertice: 14 | Distancia: 1.76
Vertice: 15 | Distancia: 1.61
Vertice: 16 | Distancia: 1.43
Vertice: 17 | Distancia: 1.93
Vertice: 18 | Distancia: 1.77
Vertice: 19 | Distancia: 1.93
Vertice: 20 | Distancia: 1.81
Vertice: 21 | Distancia: 1.72
Vertice: 22 | Distancia: 1.73
Vertice: 23 | Distancia: 2.04
Vertice: 24 | Distancia: 1.42
Vertice: 25 | Distancia: 1.84
Vertice: 26 | Distancia: 1.91
Vertice: 27 | Distancia: 1.81
Vertice: 28 | Distancia: 1.62
Vertice: 29 | Distancia: 1.41
Vertice: 30 | Distancia: 1.72
Vertice: 31 | Distancia: 1.91
Vertice: 32 | Distancia: 1.69
Vertice: 33 | Distancia: 1.76
Vertice: 34 | Distancia: 1.03
Vertice: 35 | Distancia: 2.05
Vertice: 36 | Distancia: 1.56
Vertice: 37 | Distancia: 2.06
Vertice: 38 | Distancia: 1.43
Vertice: 39 | Distancia: 1.88
Vertice: 40 | Distancia: 1.92
Vertice: 41 | Distancia: 1.83
Vertice: 42 | Distancia: 1.66
Vertice: 43 | Distancia: 2.08
Vertice: 44 | Distancia: 2.3
Vertice: 45 | Distancia: 1.73
Vertice: 46 | Distancia: 2.25
Vertice: 47 | Distancia: 1.55
Vertice: 48 | Distancia: 1.62
Vertice: 49 | Distancia: 1.72
Vertice: 50 | Distancia: 1.57
Vertice: 51 | Distancia: 1.64
Vertice: 52 | Distancia: 1.73
Vertice: 53 | Distancia: 1.72
Vertice: 54 | Distancia: 1.69
Vertice: 55 | Distancia: 1.5
Vertice: 56 | Distancia: 1.64
Vertice: 57 | Distancia: 1.53
Vertice: 58 | Distancia: 1.8
Vertice: 59 | Distancia: 1.57
Vertice: 60 | Distancia: 1.58
Vertice: 61 | Distancia: 1.41
Vertice: 62 | Distancia: 1.63
Vertice: 63 | Distancia: 2.17
Vertice: 64 | Distancia: 1.82
Vertice: 65 | Distancia: 1.88
Vertice: 66 | Distancia: 2
Vertice: 67 | Distancia: 1.52
Vertice: 68 | Distancia: 1.72
Vertice: 69 | Distancia: 1.66
Vertice: 70 | Distancia: 1.73
Vertice: 71 | Distancia: 1.92
Vertice: 72 | Distancia: 1.78
Vertice: 73 | Distancia: 1.06
Vertice: 74 | Distancia: 1.66
Vertice: 75 | Distancia: 1.52
Vertice: 76 | Distancia: 1.58
Vertice: 77 | Distancia: 1.68
Vertice: 78 | Distancia: 2.01
Vertice: 79 | Distancia: 1.76
Vertice: 80 | Distancia: 1.75
Vertice: 81 | Distancia: 1.44
Vertice: 82 | Distancia: 1.43
Vertice: 83 | Distancia: 1.72
Vertice: 84 | Distancia: 1.66
Vertice: 85 | Distancia: 1.44
Vertice: 86 | Distancia: 1.9
Vertice: 87 | Distancia: 1.48
Vertice: 88 | Distancia: 1.85
Vertice: 89 | Distancia: 1.6
Vertice: 90 | Distancia: 1.22
Vertice: 91 | Distancia: 1.42
Vertice: 92 | Distancia: 1.71
Vertice: 93 | Distancia: 1.78
Vertice: 94 | Distancia: 1.62
Vertice: 95 | Distancia: 1.76
Vertice: 96 | Distancia: 1.73
Vertice: 97 | Distancia: 1.65
Vertice: 98 | Distancia: 1.36
Vertice: 99 | Distancia: 1.6
Vertice: 100 | Distancia: 1.41
