Vertice: 1 | Pai: 550225 | Level: 21 | Grau:8
Vertice: 2 | Pai: 7088780 | Level: 19 | Grau:11
Vertice: 3 | Pai: 3559657 | Level: 21 | Grau:10
Vertice: 4 | Pai: 5292265 | Level: 13 | Grau:4
Vertice: 5 | Pai: 7841117 | Level: 20 | Grau:7
Vertice: 6 | Pai: 8415983 | Level: 20 | Grau:9
Vertice: 7 | Pai: 9535315 | Level: 14 | Grau:8
Vertice: 8 | Pai: 8701033 | Level: 19 | Grau:6
Vertice: 9 | Pai: 8016566 | Level: 18 | Grau:7
Vertice: 10 | Pai: 0 | Level: 0 | Grau:10
Vertice: 11 | Pai: 5497660 | Level: 17 | Grau:6
Vertice: 12 | Pai: 7852326 | Level: 12 | Grau:11
Vertice: 13 | Pai: 5830060 | Level: 15 | Grau:4
Vertice: 14 | Pai: 4572989 | Level: 12 | Grau:10
Vertice: 15 | Pai: 8149308 | Level: 8 | Grau:9
Vertice: 16 | Pai: 1688462 | Level: 12 | Grau:8
Vertice: 17 | Pai: 7784499 | Level: 15 | Grau:4
Vertice: 18 | Pai: 1065637 | Level: 18 | Grau:11
Vertice: 19 | Pai: 6197531 | Level: 18 | Grau:9
Vertice: 20 | Pai: 8885874 | Level: 13 | Grau:5
Vertice: 21 | Pai: 4614792 | Level: 12 | Grau:7
Vertice: 22 | Pai: 6065468 | Level: 18 | Grau:11
Vertice: 23 | Pai: 7938027 | Level: 11 | Grau:9
Vertice: 24 | Pai: 4581601 | Level: 13 | Grau:9
Vertice: 25 | Pai: 9858710 | Level: 12 | Grau:10
Vertice: 26 | Pai: 5168927 | Level: 9 | Grau:5
Vertice: 27 | Pai: 8001033 | Level: 17 | Grau:10
Vertice: 28 | Pai: 5602744 | Level: 23 | Grau:7
Vertice: 29 | Pai: 2531618 | Level: 17 | Grau:13
Vertice: 30 | Pai: 8947758 | Level: 18 | Grau:8
Vertice: 31 | Pai: 9850585 | Level: 17 | Grau:8
Vertice: 32 | Pai: 6875720 | Level: 10 | Grau:8
Vertice: 33 | Pai: 6809510 | Level: 16 | Grau:6
Vertice: 34 | Pai: 1346855 | Level: 14 | Grau:11
Vertice: 35 | Pai: 2044149 | Level: 15 | Grau:8
Vertice: 36 | Pai: 1620821 | Level: 14 | Grau:3
Vertice: 37 | Pai: 8817231 | Level: 18 | Grau:12
Vertice: 38 | Pai: 2374007 | Level: 17 | Grau:9
Vertice: 39 | Pai: 4687820 | Level: 23 | Grau:4
Vertice: 40 | Pai: 9798152 | Level: 14 | Grau:6
Vertice: 41 | Pai: 8064441 | Level: 14 | Grau:7
Vertice: 42 | Pai: 7366979 | Level: 16 | Grau:10
Vertice: 43 | Pai: 5339316 | Level: 13 | Grau:10
Vertice: 44 | Pai: 6592531 | Level: 11 | Grau:11
Vertice: 45 | Pai: 2655801 | Level: 13 | Grau:7
Vertice: 46 | Pai: 3803688 | Level: 22 | Grau:5
Vertice: 47 | Pai: 6075343 | Level: 20 | Grau:7
Vertice: 48 | Pai: 1192649 | Level: 15 | Grau:9
Vertice: 49 | Pai: 9748622 | Level: 15 | Grau:6
Vertice: 50 | Pai: 396789 | Level: 12 | Grau:7
Vertice: 51 | Pai: 4735163 | Level: 12 | Grau:4
Vertice: 52 | Pai: 5507168 | Level: 17 | Grau:6
Vertice: 53 | Pai: 5568282 | Level: 18 | Grau:6
Vertice: 54 | Pai: 748708 | Level: 10 | Grau:16
Vertice: 55 | Pai: 4059352 | Level: 13 | Grau:7
Vertice: 56 | Pai: 1842895 | Level: 12 | Grau:6
Vertice: 57 | Pai: 9882903 | Level: 15 | Grau:9
Vertice: 58 | Pai: 8997771 | Level: 13 | Grau:7
Vertice: 59 | Pai: 6426836 | Level: 15 | Grau:8
Vertice: 60 | Pai: 1454010 | Level: 22 | Grau:13
Vertice: 61 | Pai: 6768093 | Level: 11 | Grau:7
Vertice: 62 | Pai: 6637078 | Level: 13 | Grau:7
Vertice: 63 | Pai: 8611330 | Level: 16 | Grau:12
Vertice: 64 | Pai: 5676371 | Level: 22 | Grau:8
Vertice: 65 | Pai: 69138 | Level: 13 | Grau:7
Vertice: 66 | Pai: 9629239 | Level: 18 | Grau:6
Vertice: 67 | Pai: 4195446 | Level: 17 | Grau:10
Vertice: 68 | Pai: 4672233 | Level: 25 | Grau:5
Vertice: 69 | Pai: 3493223 | Level: 15 | Grau:6
Vertice: 70 | Pai: 8220439 | Level: 11 | Grau:4
Vertice: 71 | Pai: 6819687 | Level: 18 | Grau:7
Vertice: 72 | Pai: 5716092 | Level: 14 | Grau:7
Vertice: 73 | Pai: 1300285 | Level: 14 | Grau:16
Vertice: 74 | Pai: 5052950 | Level: 17 | Grau:8
Vertice: 75 | Pai: 6253007 | Level: 14 | Grau:9
Vertice: 76 | Pai: 5791385 | Level: 12 | Grau:4
Vertice: 77 | Pai: 1888325 | Level: 7 | Grau:8
Vertice: 78 | Pai: 7294165 | Level: 24 | Grau:6
Vertice: 79 | Pai: 1893703 | Level: 10 | Grau:6
Vertice: 80 | Pai: 2545628 | Level: 11 | Grau:9
Vertice: 81 | Pai: 434839 | Level: 14 | Grau:9
Vertice: 82 | Pai: 4657892 | Level: 11 | Grau:9
Vertice: 83 | Pai: 3579799 | Level: 12 | Grau:8
